Date,Open,High,Low,Close,Volume,Average,Barcount
2014-05-23,125.28,125.47,123.53,124.51,17438800.0,124.526,79474
2014-05-30,122.98,123.07,119.62,120.43,27911500.0,121.233,105234
2014-06-06,119.93,120.88,119.42,120.61,19521700.0,120.123,75558
2014-06-13,120.79,123.04,120.57,122.96,17473500.0,121.96,69545
2014-06-20,122.88,127.23,121.82,126.5,41707900.0,125.022,151451
2014-06-27,126.65,127.55,126.2,126.66,22426800.0,126.878,87335
2014-07-03,126.5,128.24,126.37,127.16,27833700.0,127.491,92667
2014-07-11,126.63,129.21,126.23,128.78,24880900.0,127.721,96961
2014-07-18,125.5,127.55,124.36,126.13,37762000.0,125.795,143791
2014-07-25,126.53,126.55,123.9,125.79,20866700.0,125.177,80937
2014-08-01,125.44,125.88,123.23,124.38,25168200.0,124.519,100921
2014-08-08,124.36,126.51,123.4,126.19,31420700.0,125.152,123692
2014-08-15,125.84,126.81,124.41,125.48,23729800.0,125.81,101460
2014-08-22,124.78,125.08,122.45,123.19,22974100.0,123.841,94426
2014-08-29,122.92,124.33,122.72,123.86,15751000.0,123.506,66656
2014-09-05,121.97,122.66,121.25,122.06,20306900.0,121.823,82771
2014-09-12,121.58,121.61,118.07,118.38,31891500.0,119.763,123999
2014-09-19,118.79,119.43,116.72,117.09,31701000.0,118.046,124813
2014-09-26,116.72,117.99,116.2,117.06,26329100.0,117.131,105642
2014-10-03,117.27,117.4,114.42,114.61,33662300.0,116.182,138370
2014-10-10,115.16,118.26,114.94,117.59,30266000.0,116.754,125735
2014-10-17,118.14,120.18,117.93,118.99,28004900.0,118.974,113081
2014-10-24,119.68,120.5,117.88,118.35,18379800.0,119.122,78616
2014-10-31,118.16,118.48,111.66,112.66,33702600.0,114.64,125206
2014-11-07,112.39,113.15,109.67,112.97,37469500.0,111.21,150302
2014-11-14,112.24,114.72,110.28,114.47,37253600.0,112.153,150736
2014-11-21,113.97,115.96,112.88,115.39,31536800.0,114.512,126643
2014-11-28,115.15,115.47,111.95,112.11,21908300.0,114.489,94928
2014-12-05,113.8,117.36,113.74,114.43,29952300.0,115.576,143632
2014-12-12,114.97,118.99,114.46,117.41,24919800.0,117.336,105916
2014-12-19,116.22,116.97,113.58,114.77,30840000.0,115.073,133769
2014-12-26,114.81,114.98,112.41,114.83,17256100.0,113.46,77163
2015-01-02,114.61,116.26,112.32,114.08,31278500.0,114.059,126683
2015-01-09,114.78,117.5,114.73,117.26,35259000.0,116.471,159264
2015-01-16,117.46,123.15,117.32,122.52,47069800.0,120.302,202468
2015-01-23,123.63,125.58,123.35,124.23,37353700.0,124.326,168742
2015-01-30,123.33,124.64,120.26,123.45,42515400.0,122.819,194441
2015-02-06,121.84,123.16,117.95,118.64,35291600.0,120.774,158585
2015-02-13,118.83,119.4,117.0,117.98,19839000.0,118.062,92434
2015-02-20,116.4,116.54,114.99,115.28,24804300.0,115.888,110976
